V_L,V_R,velocity,acc,omega,alpha
1.399400,0.346600,0.274400,13.258000,-0.209440,-11.501720
1.320000,0.781000,0.261300,26.516000,-0.188496,18.003071
1.096800,0.543400,0.274400,26.516000,-0.118682,-14.346606
1.163800,0.836200,0.261300,13.258000,0.043633,40.116393
1.360800,1.133800,0.248300,-12.881000,-0.045379,-2.312561
1.223400,0.842600,0.261300,26.516000,0.102974,-16.441002
1.113800,0.948200,0.261300,13.258000,-0.080285,47.848201
1.383000,1.191400,0.248300,-26.139000,0.026180,-101.630522
1.002200,0.828800,0.274400,26.516000,0.024435,16.379915
1.303400,0.800000,0.261300,13.258000,-0.106465,-30.927234
1.394400,0.810400,0.261300,0.000000,-0.047124,24.617869
0.877600,0.207200,0.300500,-26.139000,0.000000,-24.443336
0.885200,0.415400,0.287500,0.000000,-0.129154,21.031217
1.485600,0.997400,0.248300,13.258000,-0.048869,18.238691
1.124200,0.690600,0.274400,13.258000,-0.064577,-79.796453
1.236200,0.801600,0.261300,-12.881000,-0.068068,39.828413
1.007400,0.797000,0.274400,-26.139000,0.195477,-14.215707
1.143200,1.027000,0.261300,26.516000,0.118682,-24.774949
1.140800,0.888800,0.261300,-12.881000,0.125664,-55.222217
1.324200,1.152800,0.248300,-12.881000,0.033161,0.593412
1.032400,0.515400,0.287500,-26.139000,-0.185005,18.561577
1.023600,0.385400,0.287500,-26.139000,-0.064577,-26.974064
1.536400,0.915400,0.248300,0.377000,-0.068068,11.815879
1.183200,0.634600,0.274400,-26.139000,-0.094248,-33.117623
1.080200,0.551600,0.274400,-12.881000,-0.076794,27.480209
1.029000,0.941800,0.261300,13.258000,-0.034907,23.605578
1.237800,1.221800,0.248300,-12.881000,0.026180,-27.488936
1.074800,0.971600,0.261300,26.516000,0.109956,-18.884462
1.052000,0.966000,0.261300,-26.139000,0.043633,8.028515
1.334800,0.813200,0.261300,-26.139000,-0.013963,-64.812802
0.969400,0.429800,0.287500,13.258000,-0.024435,9.450958
1.219200,0.788800,0.261300,26.516000,-0.127409,51.993358
1.512000,1.337800,0.235200,26.516000,0.057596,-12.260938
0.999600,0.461200,0.287500,-12.881000,0.064577,21.554816
1.054600,0.638200,0.274400,-12.881000,-0.109956,-31.040681
1.500400,0.983600,0.248300,-12.881000,-0.073304,83.383105
0.916800,0.249400,0.300500,26.139000,-0.099484,82.318454
1.090000,0.614600,0.274400,13.258000,0.190241,-101.796329
1.030000,0.794400,0.274400,13.258000,-0.001745,-45.605453
1.189200,1.063800,0.261300,26.516000,-0.029671,24.478243
1.017200,0.758600,0.274400,13.258000,0.071558,-18.465583
1.561000,0.940400,0.248300,13.258000,-0.087266,-12.208578
1.359000,0.851400,0.261300,0.377000,-0.075049,46.748644
0.823000,0.176800,0.300500,-26.139000,0.031416,28.021261
1.033800,1.005800,0.261300,13.258000,-0.130900,60.580378
1.139400,1.038000,0.261300,-26.139000,-0.043633,-7.635815
0.913400,0.465200,0.287500,13.258000,-0.057596,42.306781
1.787600,1.282200,0.222100,0.377000,-0.019199,-15.961036
0.730600,0.755000,0.287500,0.000000,0.029671,71.942472
0.771000,0.620200,0.287500,-26.139000,0.167552,-1.884956
1.256600,1.111600,0.248300,-12.881000,0.106465,-38.571776
1.136600,1.073600,0.261300,13.258000,0.061087,75.956729
1.257200,0.581800,0.274400,-12.881000,-0.153589,-18.151424
1.229200,0.481000,0.274400,-26.139000,-0.195477,61.330870
1.229800,0.564000,0.274400,0.000000,-0.174533,23.954644
1.022600,0.361800,0.287500,13.258000,-0.017453,-8.892453
0.810000,0.428600,0.287500,-12.881000,0.026180,41.233404
1.372200,1.053400,0.248300,13.258000,0.061087,-119.240894
0.736800,0.711800,0.287500,-26.139000,0.047124,2.574361
0.991600,1.041200,0.261300,-12.881000,0.062832,3.499385
0.880200,0.918400,0.274400,-26.139000,0.137881,40.203659
1.116000,1.110400,0.261300,-12.881000,0.115192,-113.856554
1.350400,0.384000,0.274400,13.258000,-0.015708,-65.449847
1.407200,0.726600,0.261300,0.000000,-0.247837,-14.625859
1.293600,0.942400,0.261300,-12.881000,-0.221657,52.639130
0.982000,0.430200,0.287500,13.258000,0.029671,-8.874999
1.019800,1.086000,0.261300,-26.139000,-0.134390,59.419734
1.252800,1.118000,0.248300,13.258000,0.202458,6.710791
1.298800,1.276000,0.248300,-12.881000,0.158825,-4.066617
0.742200,0.776400,0.287500,13.258000,0.169297,77.544979
1.040400,1.083400,0.261300,13.258000,0.109956,-8.290314
1.627400,0.588600,0.261300,-12.881000,-0.244346,2.111848
1.029000,-0.323400,0.313600,13.258000,-0.150098,-61.671209
1.372000,0.155600,0.274400,13.258000,-0.244346,21.066124
1.511400,0.842800,0.248300,-26.139000,-0.240855,-51.661746
0.944000,0.720400,0.274400,-26.139000,-0.064577,-86.856310
1.054200,0.850400,0.261300,13.258000,0.012217,6.562438
1.095600,0.951200,0.261300,13.258000,0.071558,0.061087
0.790800,0.964800,0.274400,13.258000,0.164061,-67.160270
0.677600,0.951400,0.274400,13.258000,0.183260,20.429079
1.075600,1.360400,0.248300,13.258000,0.172788,56.644661
1.234200,0.636000,0.274400,13.258000,0.214675,-59.864793
1.002200,0.396200,0.287500,0.000000,0.005236,-22.218041
1.125400,0.625200,0.274400,-26.139000,-0.134390,16.004669
1.210200,0.620400,0.274400,-12.881000,-0.055851,6.710791
1.150400,0.559800,0.274400,-26.139000,-0.118682,-32.925636
1.649800,1.072600,0.235200,13.258000,-0.099484,-101.045837
0.761600,0.790000,0.287500,-26.139000,-0.048869,15.393804
0.885400,0.916800,0.274400,13.258000,0.144862,19.137535
1.181600,1.248000,0.248300,-12.881000,0.153589,0.410152
0.883000,0.974000,0.274400,0.000000,0.130900,-21.799162
0.670800,0.752000,0.287500,13.258000,0.146608,109.597950
1.232200,0.416400,0.274400,-12.881000,-0.123918,-22.226768
2.331800,1.835000,0.182900,14.012000,-0.284489,-78.976149
0.958400,0.467000,0.287500,-26.139000,-0.045379,-30.264009
1.279000,0.703000,0.261300,-26.139000,-0.090757,-30.019663
1.478800,0.947800,0.248300,-12.881000,-0.089012,-19.765854
1.156600,0.574400,0.274400,-26.139000,-0.089012,17.182766
1.396000,0.545800,0.261300,-26.139000,-0.082030,-47.935468
1.234200,1.230200,0.248300,13.258000,0.033161,-117.033053
0.859400,0.996200,0.274400,13.258000,0.078540,51.129420
0.663800,0.745800,0.287500,-26.139000,0.193732,14.390240
1.218000,1.283200,0.248300,-12.881000,0.169297,21.031217
1.286000,0.241400,0.287500,0.000000,-0.216421,-55.117498
1.509800,0.158600,0.274400,0.377000,-0.158825,20.813051
