V_L,V_R,velocity,acc,omega,alpha
-2.427400,-2.427400,-0.797200,-26.893000,-0.329867,-41.852995
-2.423600,-2.423600,-0.967100,-26.893000,-0.542797,96.542887
0.354600,0.000000,-0.601100,-13.635000,-0.214675,-40.334559
0.765200,2.448600,-0.470500,-26.516000,2.993240,107.302842
0.763400,2.443400,-0.365900,-13.259000,5.653121,-217.424391
2.425800,2.425800,0.143700,-26.139000,0.511381,-31.014501
2.428000,2.428000,0.248300,26.516000,0.279253,-17.802358
0.000000,2.428800,0.392000,26.516000,0.144862,-4.302237
2.428000,2.428000,0.483500,-25.762000,0.139626,-3.996804
2.429600,2.429600,0.575000,26.516000,0.240855,-159.845979
-1.759200,0.000000,0.679600,13.258000,0.534071,-274.889357
-1.765200,0.000000,0.535800,13.635000,2.542945,11.597713
0.824600,0.000000,0.248300,13.258000,-0.013963,-90.399329
2.451800,0.000000,0.261300,26.516000,-1.492257,-58.267817
2.432000,-2.432000,0.261300,-25.762000,-2.638938,-241.544842
2.429600,-2.429600,0.182900,-26.139000,-6.876597,-186.348804
2.428800,-2.428800,0.182900,13.258000,-9.426523,-19.835667
2.428800,-2.428800,0.156800,-12.881000,-9.859365,111.247286
2.428000,-2.428000,0.156800,13.258000,-11.112511,6.370452
2.427400,-2.427400,0.091400,-26.139000,-11.028736,4.921828
2.423600,-2.423600,0.039200,13.258000,-11.554080,-16.676621
2.426600,-2.426600,0.182900,-26.138000,-12.049753,-38.763763
2.427400,-2.427400,0.039200,-26.139000,-13.720033,-281.347075
2.422000,-2.422000,-0.052200,-26.139000,-14.297737,-238.987934
2.428000,-2.428000,-0.013000,-12.881000,-14.343116,-181.810948
2.428000,-2.428000,-0.039200,13.258000,-14.055136,61.793382
2.426600,-2.426600,-0.039200,26.516000,-13.711307,-67.561695
2.426600,-2.426600,0.000000,-26.139000,-14.543829,171.504779
2.422000,-2.422000,0.039200,-26.139000,-14.289011,-160.544111
2.423600,-2.423600,-0.091400,12.881000,-12.622221,-55.789449
2.424200,-2.424200,0.000000,-0.377000,-13.648475,142.008714
2.425000,-2.425000,-0.039200,-13.258000,-13.658947,219.038821
2.419800,-2.419800,-0.039200,12.881000,-12.973032,-63.913957
2.425800,-2.425800,-0.104500,-12.881000,-13.585643,-191.689512
2.422000,-2.422000,-0.039200,13.258000,-12.739158,-23.823744
2.422800,-2.422800,-0.065300,12.881000,-13.472196,-180.440865
2.424200,-2.424200,-0.065300,13.258000,-12.875294,104.161250
2.419000,-2.419000,-0.065300,26.139000,-12.674581,-73.600534
2.420400,-2.420400,-0.013000,12.881000,-12.767083,-43.572145
2.422800,-2.422800,-0.026100,-13.258000,-13.028883,-51.216687
2.423600,-2.423600,-0.078400,26.139000,-14.215707,204.081349
2.423600,-2.423600,-0.104500,13.258000,-13.564699,-39.584067
2.423600,-2.423600,-0.078400,-26.139000,-13.788101,190.860480
2.425000,-2.425000,-0.013000,0.000000,-13.648475,-35.936329
2.422000,-2.422000,-0.078400,0.000000,-13.386675,28.195794
2.422800,-2.422800,-0.026100,-26.516000,-13.823008,27.192230
2.425800,-2.425800,0.000000,-13.258000,-13.980087,68.006754
0.000000,-2.435000,-0.143700,0.000000,-12.213814,-4.101524
0.000000,-0.294400,-0.117600,12.881000,-5.414011,176.531327
-0.590000,0.000000,0.000000,0.000000,0.001745,3.063053
